Name	locus_tag	cov_wt	cov_ko	cov_ratio	log2FoldChange	padj
BSU_misc_RNA_10	BSU_misc_RNA_10	986.698714081909	301.770472314365	0.305838517885526	-2.0896054614411	8.8879662846445e-09
BSU_misc_RNA_11	BSU_misc_RNA_11	433.010348935186	271.556814902543	0.627137008550321	-0.776109476507519	0.0126579012508935
BSU_misc_RNA_18	BSU_misc_RNA_18	234.616459466708	171.125700856503	0.72938489160342	-1.77797970272914	0.0045077767443501
BSU_misc_RNA_20	BSU_misc_RNA_20	1292.77912130275	238.159160554852	0.184222622898532	-3.86290236965732	1.34975408538802e-17
BSU_misc_RNA_21	BSU_misc_RNA_21	669.385623322068	178.101406066921	0.266066972252897	-3.20084211044964	2.11262738672809e-07
BSU_misc_RNA_4	BSU_misc_RNA_4	7198.97767117149	4879.25345158716	0.677770327184965	-0.988399837638983	0.0055876163348676
BSU_misc_RNA_54	BSU_misc_RNA_54	1951.57314759714	1313.36958673265	0.672979943564876	-2.91183897172634	8.16983985442271e-11
BSU_misc_RNA_56	BSU_misc_RNA_56	1589.1654082274	420.905971678637	0.264859761922535	-1.72069423404029	1.52292870792279e-05
BSU_misc_RNA_61	BSU_misc_RNA_61	233.678841238081	170.841066915298	0.731093435803366	-2.67856935286593	1.11832270659299e-18
BSU_misc_RNA_9	BSU_misc_RNA_9	2342.72074390769	1081.09334101569	0.461469146003468	-5.34145762295396	1.14194286950734e-20
BSU_tRNA_1	trnY-Phe	77146.815539495	60687.6425024581	0.786651296985671	-1.80170127193221	4.40563521485548e-12
BSU_tRNA_2	trnY-Asp	106205.73154466	72080.9650999127	0.678691856376907	-1.60591301090126	1.77110153608648e-10
BSU_tRNA_26	trnI-Arg	42278.1757833638	32726.8445316331	0.774083647774389	-1.46436507147431	0.0302174875151287
BSU_tRNA_3	trnY-Glu	81350.6704259802	58643.4643003676	0.720872538521074	-1.70609857466957	2.95899597299171e-08
BSU_tRNA_4	trnY-Lys	66562.4587075752	52199.4464439258	0.784217522271081	-2.42955781838566	8.06798706719797e-08
BSU00370	abrB	984.807841829691	728.853863948809	0.740097542881725	-1.32004627294277	1.52800506774063e-16
BSU00400	yabE	4359.81994013022	2390.83280685376	0.548378795382625	-0.805805538786424	1.10644499823961e-05
BSU00410	rnmV	892.782700766571	665.326583061414	0.745227906510894	-0.877445785382424	5.83396492102407e-06
BSU01080	rpoC	4639.00628153925	3539.9634219099	0.76308657653624	-1.87390169909731	1.0955749870254e-41
BSU01110	rpsG	9560.40806274252	2986.79288009001	0.312412698337608	-1.40450559186006	4.65711431980506e-20
BSU01120	fusA	10438.5810428196	3483.38667436997	0.333703082830984	-1.29963139413901	4.67766970588526e-15
BSU01130	tufA	9603.15264062057	3426.70826607647	0.356831594197698	-1.30289183519155	9.18390528909434e-16
BSU01160	rplC	9765.81497873579	7116.50674936002	0.728716114820483	-1.22464055337638	7.94975198194441e-18
BSU01170	rplD	10629.8351990871	8135.17501262518	0.76531525280127	-0.828094762346565	6.24804676745939e-06
BSU01200	rpsS	9301.39463634331	6521.89207931573	0.701173569588453	-1.2236241584755	2.25952120660558e-13
BSU01210	rplV	10425.1202207792	7336.55065216749	0.703737750433264	-1.10695922463176	1.68885520373706e-10
BSU01220	rpsC	9993.37321426105	7190.90061899008	0.719566903468421	-1.28553243705906	3.54804644687351e-18
BSU01230	rplP	9899.06851815995	7087.94368802359	0.716021277660689	-1.18366328916973	1.2556943020007e-17
BSU01240	rpmC	9794.95935139569	7071.90427811782	0.721994244632586	-1.2751722455332	1.16093933984966e-18
BSU01270	rplX	7046.60053181852	4529.42320882765	0.642781322479584	-1.15848676733602	7.51749185144533e-08
BSU01280	rplE	6318.36274553228	3780.98508708271	0.598412158237709	-1.25578884607146	1.46279235261699e-18
BSU01290	rpsN	6068.85004727217	3394.10566044537	0.559266687100129	-1.1126270982224	4.22392865752861e-10
BSU01300	rpsH	6082.53669499753	3688.73732649692	0.60644719653408	-1.13332336450253	4.80698608826606e-13
BSU01310	rplF	6943.47040859269	3999.01787719609	0.575939356239961	-1.14283570523471	5.17584826856706e-13
BSU01320	rplR	6741.62396123587	3708.06276524581	0.550025155150607	-1.01251870270139	6.82198258574534e-08
BSU01330	rpsE	6560.06401884342	3626.82527474221	0.552864311129336	-0.948171772415768	2.27967382516009e-09
BSU01340	rpmD	6776.1627930182	3917.62262538627	0.57814765451367	-0.993745340261311	5.73930851531639e-10
BSU01350	rplO	7004.90829066985	4228.17812701201	0.603602210273575	-0.964834046687571	2.49646800020594e-10
BSU01360	secY	7209.95178929082	4293.24275230675	0.595460674048285	-1.05497732020684	2.70579161673206e-13
BSU01370	adk	6678.45167685965	3760.39933660101	0.563064542284632	-1.17444180754722	5.61580836240921e-10
BSU01380	mapA	6372.48386245176	3674.71877627477	0.576654073292694	-1.14222668200049	1.94541921014669e-09
BSU01389	ybzG	6063.71250929656	3685.96543665285	0.607872723352521	-1.29668583826456	1.9830448285734e-10
BSU01390	infA	6460.31548080561	3866.32020252117	0.598472352319091	-1.13923544033731	2.10801452442472e-10
BSU01400	rpmJ	6054.61309388367	3783.72900876385	0.624933245129428	-1.12880626728702	1.37957516297248e-05
BSU01410	rpsM	6237.34195201992	3745.43088446549	0.600485096580693	-0.908745308524497	1.45621793645623e-06
BSU01420	rpsK	6610.17348389031	3998.68576374118	0.604929019410216	-0.996161114638789	2.55796354269137e-11
BSU01430	rpoA	5971.76283158533	3803.76695468102	0.636958811318237	-1.01712845150699	3.2486835552782e-09
BSU01440	rplQ	5252.94573050885	3393.91603373518	0.646097676970749	-0.959108086988759	3.95073160730975e-08
BSU01450	cbiO	1255.10139625969	986.614257848761	0.786083308319914	-2.10558439521491	1.07797239857171e-14
BSU01610	feuC	317.940056546319	212.800211243963	0.669309219969146	-0.95179615582717	4.57915310072515e-06
BSU01620	feuB	461.125776232228	303.437256669721	0.658035773122574	-1.00133570112019	0.000103677143213414
BSU01740	rsiW	1148.59384894054	770.956285183003	0.67121749423796	-0.91052176235477	7.15654374561376e-07
BSU02120	ybeC	341.803825444277	139.978833388491	0.409529744749189	-3.4768340987699	6.20921152517638e-44
BSU02860	adcC	706.437495419349	515.350868283161	0.729506674864764	-2.13860920815983	4.49998563542086e-28
BSU02890	yceC	671.910324626499	533.318362600274	0.793734436059953	-1.37161904469146	1.53032158038742e-10
BSU02980	opuAA	1277.53680212622	824.176803622439	0.645129598028606	-1.01078404962564	3.3026048596953e-06
BSU04120	yczI	2517.743296578	1831.62280489113	0.727485922564301	-2.10664985412328	1.34091732883945e-26
BSU05100	yddT	527.563490608435	409.247727480377	0.775731707682036	-1.92627545037944	0.000211580685069612
BSU06180	pspA	206.558141102161	162.635511353786	0.787359483804362	-2.96315369826941	4.56945157987698e-24
BSU06190	ydjG	242.0871686735	166.552782645104	0.687986825397308	-2.90395205945618	7.54440675679332e-27
BSU06200	ydjH	263.8940038894	163.230170356617	0.618544445689748	-2.63002521866861	3.4236918431486e-22
BSU06210	ydjI	225.927204121063	173.679844165842	0.768742501999785	-1.57783963098282	9.81461371396644e-12
BSU06270	ydjO	478.677836249745	370.091457357482	0.773153526925343	-1.89880314707194	5.96252564019901e-13
BSU06370	pbuG	910.467966358558	470.450691114778	0.516713062400601	-1.51091696585923	9.11747968512242e-23
BSU06420	purE	682.914510196622	334.877195300175	0.490364738631426	-1.89196778201141	8.07256987483734e-11
BSU06660	opuE	334.932921254906	252.608864251856	0.754207329949522	-1.62343676930575	1.84201366791799e-06
BSU06750	yefC	329.015579340713	237.839764560617	0.722882986383819	-4.70017131330377	1.81711215634117e-48
BSU06760	yeeA	269.500781633336	180.119228790599	0.668343994028398	-3.74993228065895	1.06062808617952e-21
BSU06770	yeeB	259.750361103151	185.332786234924	0.713503478677842	-3.75784564664126	1.28954481421649e-19
BSU07350	yfmT	292.838463821215	187.765750834832	0.641192240884953	-5.80619483109689	1.99658210210222e-238
BSU07360	yfmS	229.875011902491	132.090741195372	0.574619834066186	-5.10589067472799	7.59126579658778e-109
BSU07710	yflE	1993.76080761608	1040.68326751391	0.521969969285455	-1.29528221762456	1.50166850300724e-15
BSU08560	yfhJ	361.295780189979	244.032232270197	0.675436154116935	-2.00155791127609	1.42939273453242e-15
BSU08600	csbB	906.955868587751	524.013389019854	0.577771650384502	-2.18194323511828	1.16757373063088e-34
BSU08610	yfhO	613.95465759318	316.337493507825	0.515245693791018	-0.546536388737742	0.0257628689193404
BSU09120	dgcK	746.989471152609	482.379803907724	0.645765198220812	-2.17152742214206	2.50503743723169e-23
BSU09370	lytF	357.815620195484	130.811345318476	0.365583104636434	-7.26185478784492	3.12416548592784e-251
BSU09380	nsrR	438.682011815065	237.761514589404	0.541990572181558	-1.50026859648379	6.28238126656418e-13
BSU09590	yhdT	566.95789864225	399.509942534453	0.704655395914227	-1.19241217695478	7.82330940371263e-12
BSU09660	yheN	1442.55612628526	546.161729282241	0.378606918185338	-1.40552229510692	6.96442891132619e-11
BSU09965	yhaJ	1517.58517438813	1104.08384316076	0.727526772002047	-1.61266259514655	2.66983967905779e-13
BSU10010	trpP	2245.30622786104	1788.76336507485	0.796667885600126	-0.636128417586665	0.011149564282952
BSU10020	serC	433.07964325779	237.274649915757	0.547877633155155	-2.23641505141979	4.03710755304608e-41
BSU10380	hemAT	189.784617576923	96.1673322654348	0.506718265648988	-6.49765048918585	6.95429085980898e-170
BSU11330	fabHA	1690.91979751445	888.402274516529	0.525395867871691	-0.559807400218232	0.00265933150157505
BSU11500	spxA	2214.53980103085	1730.66764297309	0.781502162285581	-0.329536949334824	0.0356287641635115
BSU11570	yjbJ	750.508613202161	216.541999248249	0.28852700080861	-2.23415205746467	2.32820547368221e-25
BSU11580	yjbK	442.298013324686	204.752942338074	0.462929825976331	-0.57269714336836	0.00868059168067033
BSU11910	yjcM	862.804888960146	383.581585814636	0.444575118572786	-3.28972355869658	3.96205686846347e-11
BSU12671	xkdN	188.60388182987	134.412828192537	0.712672649621199	-0.900374944097622	0.0480401298181515
BSU12840	pit	2943.66428555446	1863.39959837323	0.633020418638617	-1.24544374543533	3.51057737054555e-11
BSU12850	ykaA	2066.42090071881	1561.64413703427	0.755724129818397	-1.74766137634817	1.1490711032176e-10
BSU12860	ykbA	354.939312184047	217.284102299279	0.612172545673415	-0.681895340842265	0.00100989735558984
BSU13100	ykkD	208.866507662324	164.62874393012	0.788200778443026	-1.58332175875339	4.15824611010164e-05
BSU13110	purU	974.311900330276	471.35002562627	0.4837773463164	-1.30750553316491	9.95989504032286e-12
BSU13300	mgtE	1671.81049762046	556.331190373107	0.332771681458485	-1.01177746625366	1.31172255460357e-07
BSU13340	ykoM	309.211111722988	201.833439383349	0.652736695840882	-1.0603154144338	0.0236685839870255
